Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06037228210","Census Tract 2282.10, Los Angeles County, California","ACSSF","ca","140","00","0004981",,,,,"06","037",,,"228210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228210","Census Tract 2282.10",,,,4398,514,285,459,808,620,1712
"06037228220","Census Tract 2282.20, Los Angeles County, California","ACSSF","ca","140","00","0004982",,,,,"06","037",,,"228220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228220","Census Tract 2282.20",,,,4786,558,379,604,807,578,1860
"06037228310","Census Tract 2283.10, Los Angeles County, California","ACSSF","ca","140","00","0004983",,,,,"06","037",,,"228310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228310","Census Tract 2283.10",,,,4455,451,198,289,1119,414,1984
"06037228320","Census Tract 2283.20, Los Angeles County, California","ACSSF","ca","140","00","0004984",,,,,"06","037",,,"228320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228320","Census Tract 2283.20",,,,3216,182,296,481,429,785,1043
"06037228410","Census Tract 2284.10, Los Angeles County, California","ACSSF","ca","140","00","0004985",,,,,"06","037",,,"228410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228410","Census Tract 2284.10",,,,3375,249,431,23,577,344,1751
"06037228420","Census Tract 2284.20, Los Angeles County, California","ACSSF","ca","140","00","0004986",,,,,"06","037",,,"228420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228420","Census Tract 2284.20",,,,3133,453,153,91,526,283,1627
"06037228500","Census Tract 2285, Los Angeles County, California","ACSSF","ca","140","00","0004987",,,,,"06","037",,,"228500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228500","Census Tract 2285",,,,4696,973,319,641,468,445,1850
"06037228600","Census Tract 2286, Los Angeles County, California","ACSSF","ca","140","00","0004988",,,,,"06","037",,,"228600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228600","Census Tract 2286",,,,5194,427,343,675,1035,1096,1618
"06037228710","Census Tract 2287.10, Los Angeles County, California","ACSSF","ca","140","00","0004989",,,,,"06","037",,,"228710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228710","Census Tract 2287.10",,,,4115,236,279,599,826,395,1780
"06037228720","Census Tract 2287.20, Los Angeles County, California","ACSSF","ca","140","00","0004990",,,,,"06","037",,,"228720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228720","Census Tract 2287.20",,,,4974,578,338,552,651,830,2025
"06037228800","Census Tract 2288, Los Angeles County, California","ACSSF","ca","140","00","0004991",,,,,"06","037",,,"228800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228800","Census Tract 2288",,,,5367,640,27,727,864,689,2420
"06037228900","Census Tract 2289, Los Angeles County, California","ACSSF","ca","140","00","0004992",,,,,"06","037",,,"228900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037228900","Census Tract 2289",,,,3074,499,276,216,609,482,992
"06037229100","Census Tract 2291, Los Angeles County, California","ACSSF","ca","140","00","0004993",,,,,"06","037",,,"229100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037229100","Census Tract 2291",,,,4795,343,261,642,904,468,2177
"06037229200","Census Tract 2292, Los Angeles County, California","ACSSF","ca","140","00","0004994",,,,,"06","037",,,"229200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037229200","Census Tract 2292",,,,4721,283,355,367,1041,914,1761
"06037229300","Census Tract 2293, Los Angeles County, California","ACSSF","ca","140","00","0004995",,,,,"06","037",,,"229300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037229300","Census Tract 2293",,,,5685,1024,347,350,1092,772,2100
